Student Name,Student ID,Major
Scott Conner,SID1000,Art
Daniel Harrison,SID1001,Engineering
Lisa Mclaughlin,SID1002,Biology
Richard Guerra,SID1003,Psychology
Beth Hess,SID1004,Biology
Ray Foster,SID1005,Economics
William Jenkins,SID1006,Economics
Reginald Peterson,SID1007,Physics
Margaret Obrien,SID1008,Literature
Tammy Collins,SID1009,History
Rachel Simmons,SID1010,Philosophy
Jose Pratt,SID1011,Literature
Kathleen Hall,SID1012,Art
Chase Haynes,SID1013,Art
Haley Ramirez,SID1014,Mathematics
John Benitez,SID1015,Psychology
Sophia Foster,SID1016,Psychology
Andre Smith,SID1017,Mathematics
Sylvia Houston,SID1018,Psychology
Aaron Wang,SID1019,Mathematics
Leslie Smith,SID1020,Economics
Joshua Thompson,SID1021,History
Angel Flores,SID1022,Psychology
Anthony Garcia,SID1023,Psychology
Lisa Sanders,SID1024,Physics
Mary Cohen,SID1025,Medicine
David Lang,SID1026,Medicine
Duane Ruiz,SID1027,Art
Michelle Dawson,SID1028,Literature
Nicole Zuniga,SID1029,Mathematics
Ryan Mcbride,SID1030,Medicine
Jermaine Owen,SID1031,Biology
Anthony Grimes,SID1032,Engineering
Lindsey Strickland,SID1033,Psychology
Casey Gregory,SID1034,Philosophy
Devin Munoz,SID1035,Physics
Todd Garcia,SID1036,History
Dr. Bonnie Bailey DDS,SID1037,Biology
Amber Dawson,SID1038,Art
Jacob Myers,SID1039,Philosophy
Theresa Vargas,SID1040,Physics
Tina Benson,SID1041,Art
Chad Graham,SID1042,Mathematics
Dana Hudson,SID1043,Mathematics
Bradley Phillips,SID1044,Medicine
Judy Fry,SID1045,Biology
Timothy Sanchez,SID1046,Medicine
Justin Johnson,SID1047,Economics
Katie Woodward,SID1048,Computer Science
Jordan Malone,SID1049,Psychology
Kyle Schwartz,SID1050,Art
Kayla Moore,SID1051,Psychology
Ashley Turner,SID1052,Philosophy
Jacob Chung,SID1053,Economics
Timothy Monroe,SID1054,Economics
Martha Spears,SID1055,Economics
Sharon Smith,SID1056,Computer Science
Shannon Rivera,SID1057,Physics
Mariah Pearson,SID1058,Engineering
Deanna Hobbs,SID1059,Biology
Melissa Powers,SID1060,Engineering
Susan Jones,SID1061,Physics
Deborah Lopez,SID1062,Biology
Pamela Chavez,SID1063,Engineering
Stephen Allen,SID1064,Mathematics
Robert Lopez,SID1065,Biology
Carrie Martinez,SID1066,Physics
Michelle Garrett,SID1067,Medicine
Rebecca Perry,SID1068,Biology
Frank Walker,SID1069,Computer Science
Jacob Russell,SID1070,Psychology
Charlotte Skinner,SID1071,Psychology
Brittany Massey MD,SID1072,Literature
Kimberly Benitez,SID1073,Mathematics
Sarah Lee,SID1074,Art
Allen Davis,SID1075,Physics
Dr. John Yates,SID1076,Biology
Allen Hoover,SID1077,Psychology
Cathy Peterson,SID1078,Computer Science
Laura Brown,SID1079,Engineering
Sharon Caldwell,SID1080,Mathematics
Sharon Dunlap,SID1081,History
Benjamin Heath,SID1082,Biology
Christopher Salinas,SID1083,Economics
Christine Jones,SID1084,Mathematics
Thomas Rodriguez,SID1085,Philosophy
Jason Mason,SID1086,Medicine
Nicole Wall,SID1087,Computer Science
Charles Hill,SID1088,Engineering
Anthony Hill,SID1089,Biology
Robin Page,SID1090,Mathematics
Rachel Wood,SID1091,Art
Justin Weiss,SID1092,Computer Science
William Johnson,SID1093,Philosophy
Philip Russell,SID1094,Psychology
George Taylor,SID1095,History
Krystal Burns,SID1096,Philosophy
Matthew Allison,SID1097,Mathematics
Anne Jarvis,SID1098,Biology
Danny Greene,SID1099,Art
Brenda Cook,SID1100,Biology
Michael Wallace,SID1101,Medicine
Eric Simmons,SID1102,Engineering
Joseph Russell,SID1103,Medicine
Shannon Johnson,SID1104,Literature
Vanessa Meyers,SID1105,Mathematics
Theresa Wyatt,SID1106,History
Carl Gilbert,SID1107,Mathematics
Thomas Porter,SID1108,Literature
Amy Soto,SID1109,Computer Science
Mackenzie Robbins,SID1110,Economics
Tiffany Gomez,SID1111,Psychology
Christopher Caldwell,SID1112,Mathematics
